id,name,degree,peel,diversity,betweenness,pagerank
422,Lyle Crakehall,0.03305785123966942,0.25,0.540137880687222,4.705401770001419e-05,0.007965792126025354
423,Lyn Corbray,0.024793388429752067,0.16666666666666666,0.5620791768043331,0.00010930689952436924,0.007969287143075258
424,Lynesse Hightower,0.0,0.0,0.0,0.0,0.0002577575074305051
425,Lyonel Corbray,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.002886799526357544
426,Lysa Arryn,0.19008264462809918,0.9166666666666666,0.6935877261353559,0.03156665623219534,0.10530119958286407
427,Lysono Maar,0.0,0.0,0.0,0.0,0.0002577575074305051
428,Mace Tyrell,0.18181818181818182,0.9166666666666666,0.7676369576266474,0.030612865047307508,0.06120575326030834
429,Mad Huntsman,0.0,0.0,0.0,0.0,0.00047675978547698076
430,Maddy,0.03305785123966942,0.25,0.3852913907240007,0.0001910268196449691,0.01323049978490143
431,Maege Mormont,0.03305785123966942,0.25,0.4277220454074463,2.0872412718700984e-05,0.009196489097533891
432,Maegor I Targaryen,0.04132231404958678,0.3333333333333333,0.5037581929064822,0.01317085678183207,0.010362246397405479
433,Maekar I Targaryen,0.0,0.0,0.0,0.0,0.00020894001121731371
434,Mag Mar Tun Doh Weg,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.002279455757072414
435,Maggy,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.003706606509531264
436,Malaquo Maegyr,0.0,0.0,0.0,0.0,0.01256619287482712
437,Malegorn,0.024793388429752067,0.16666666666666666,0.4215593827046134,0.0018264350096049533,0.00940914961077207
438,Mallador Locke,0.0,0.0,0.0,0.0,0.0012313170551786802
